GPSpt,Date.1,Date.2,Date.3,Date.4,Date.5,Obs.1,Obs.2,Obs.3,Obs.4,Obs.5,Time.1,Time.2,Time.3,Time.4,Time.5,Wind.1,Wind.2,Wind.3,Wind.4,Wind.5,Temp.1,Temp.2,Temp.3,Temp.4,Temp.5,Cloud.1,Cloud.2,Cloud.3,Cloud.4,Cloud.5
23,41987,42031,42033,42055,NA,RS,RS,RS,RS,NA,449,959,611,608,NA,1,0,3,1,NA,22,25,18,15,NA,18,3,100,1,NA
24,41987,42031,42055,42077,NA,RS,RS,RS,RS,NA,509,945,624,1721,NA,1,0,1,3,NA,22,25,15,24,NA,18,3,1,20,NA
25,41987,42031,42055,42077,NA,RS,RS,RS,RS,NA,530,930,639,1706,NA,1,0,1,3,NA,22,25,15,24,NA,18,3,1,20,NA
26,41987,42031,42033,42077,NA,RS,RS,RS,RS,NA,605,846,658,1647,NA,0,0,1,3,NA,22,25,15,24,NA,15,3,1,20,NA
27,41987,42033,42055,42077,NA,RS,RS,RS,RS,NA,640,537,715,1737,NA,0,3,1,3,NA,26,18,15,24,NA,8,100,1,20,NA
28,41987,42031,42055,42077,NA,RS,RS,RS,RS,NA,717,1014,551,1808,NA,0,0,1,3,NA,26,25,15,24,NA,8,3,1,20,NA
30,41987,42030,42055,42077,NA,RS,RS,RS,RS,NA,811,818,528,1533,NA,2,2,1,3,NA,27,21,15,24,NA,18,19,1,20,NA
32,41987,42031,42055,42077,NA,RS,MS,RS,RS,NA,855,830,735,1611,NA,2,3,1,3,NA,27,25,15,24,NA,18,0,1,20,NA
33,41987,42031,42055,42077,NA,RS,RS,RS,RS,NA,945,905,754,1627,NA,3,3,1,3,NA,28,25,15,24,NA,62,0,1,20,NA
34,41990,42031,42055,42078,NA,RS,MS,RS,RS,NA,454,501,1019,1751,NA,3,1,3,3,NA,19,15,22,24,NA,100,0,36,22,NA
35,41990,42031,42055,42078,NA,RS,MS,RS,RS,NA,515,515,1033,1805,NA,3,1,3,3,NA,19,15,22,24,NA,100,0,36,22,NA
36,41990,42031,42061,42078,NA,RS,MS,RS,RS,NA,534,530,1833,1818,NA,3,1,3,3,NA,19,15,22,24,NA,100,0,36,22,NA
37,41990,42031,42055,42078,NA,RS,MS,RS,RS,NA,642,604,944,1716,NA,3,1,3,3,NA,19,15,22,24,NA,100,0,36,22,NA
38,41990,42031,42055,42078,NA,RS,MS,RS,RS,NA,627,745,959,1730,NA,3,1,3,3,NA,19,15,22,24,NA,100,0,36,22,NA
39,41990,42031,42055,42078,NA,RS,MS,RS,RS,NA,612,729,836,1617,NA,3,1,3,3,NA,19,15,22,24,NA,100,0,36,22,NA
40,41990,42031,42055,42078,NA,RS,MS,RS,RS,NA,732,708,853,1632,NA,3,1,3,3,NA,19,15,22,24,NA,100,0,36,22,NA
41,41990,42031,42055,42078,NA,RS,MS,RS,RS,NA,715,644,909,1645,NA,3,1,3,3,NA,19,15,22,24,NA,100,0,36,22,NA
42,41990,42031,42055,42078,NA,RS,MS,RS,RS,NA,658,621,925,1700,NA,3,1,3,3,NA,19,15,22,24,NA,100,0,36,22,NA
43,41990,42032,42034,42041,NA,RS,RS,MS,RS,NA,811,637,936,747,NA,2,3,1,1,NA,23,22,21,20,NA,100,100,80,70,NA
44,41990,42032,42034,42041,NA,RS,RS,MS,RS,NA,825,652,921,733,NA,2,3,1,1,NA,23,22,21,20,NA,100,100,80,70,NA
45,41990,42032,42034,42041,NA,RS,RS,MS,RS,NA,840,707,905,720,NA,2,3,1,1,NA,23,22,21,20,NA,100,100,80,70,NA
46,41990,42032,42034,42041,NA,RS,RS,MS,RS,NA,856,728,849,705,NA,2,3,1,1,NA,23,22,21,20,NA,100,100,80,70,NA
47,41990,42032,42034,42041,NA,RS,RS,RS,RS,NA,913,749,855,648,NA,2,3,0,1,NA,23,22,22,20,NA,100,100,78,70,NA
48,41990,42032,42034,42041,NA,RS,RS,RS,RS,NA,930,808,910,535,NA,2,3,0,1,NA,23,22,22,20,NA,100,100,78,70,NA
49,41990,42032,42034,42041,NA,RS,RS,RS,RS,NA,950,823,924,549,NA,2,3,0,1,NA,23,22,22,20,NA,100,100,78,70,NA
50,41990,42032,42034,42041,NA,RS,RS,RS,RS,NA,1004,839,938,603,NA,2,3,0,1,NA,23,22,22,20,NA,100,100,78,70,NA
51,41990,42032,42034,42041,NA,RS,RS,RS,RS,NA,1020,853,952,616,NA,2,3,0,1,NA,23,22,22,20,NA,100,100,78,70,NA
52,41991,42034,42061,42077,NA,RS,RS,MS,MS,NA,455,510,533,527,NA,0,2,1,1,NA,23,18,13,13,NA,45,100,98,98,NA
53,41991,42034,42061,42077,NA,RS,RS,MS,MS,NA,510,525,546,542,NA,0,2,1,1,NA,23,18,13,13,NA,45,100,98,98,NA
54,41991,42034,42061,42077,NA,RS,RS,MS,MS,NA,525,548,601,558,NA,0,2,1,1,NA,23,18,13,13,NA,45,100,98,98,NA
55,41991,42034,42061,42077,NA,RS,RS,MS,MS,NA,541,619,616,613,NA,0,2,1,1,NA,23,18,13,13,NA,45,100,98,98,NA
56,41991,42034,42061,42077,NA,RS,RS,MS,MS,NA,601,637,631,631,NA,0,2,1,1,NA,23,18,13,13,NA,45,100,98,98,NA
58,41991,42034,42061,42077,NA,RS,RS,MS,MS,NA,621,657,647,649,NA,0,2,1,1,NA,23,18,13,13,NA,45,100,98,98,NA
59,41991,42034,42061,42077,NA,RS,RS,MS,MS,NA,639,717,701,704,NA,0,2,1,1,NA,23,18,13,13,NA,45,100,98,98,NA
60,41991,42034,42048,42077,NA,RS,RS,MS,MS,NA,654,740,714,719,NA,0,2,1,1,NA,23,18,13,13,NA,45,100,98,98,NA
61,41991,42034,42048,42077,NA,RS,RS,MS,MS,NA,710,756,727,733,NA,0,2,1,1,NA,23,18,13,22,NA,45,100,98,98,NA
62,41991,42034,42058,42077,NA,RS,MS,RS,RS,NA,1007,718,656,929,NA,1,1,0,0,NA,25,15,22,22,NA,25,90,100,100,NA
63,41991,42034,42058,42077,NA,RS,MS,RS,RS,NA,1034,538,640,915,NA,1,1,0,0,NA,25,15,22,22,NA,25,90,100,100,NA
64,41991,42034,42058,42077,NA,RS,MS,RS,RS,NA,859,558,622,901,NA,1,1,0,0,NA,25,15,22,22,NA,25,90,100,100,NA
65,41991,42034,42058,42077,NA,RS,MS,RS,RS,NA,917,614,608,847,NA,1,1,0,0,NA,25,15,22,22,NA,25,90,100,100,NA
66,41991,42034,42058,42077,NA,RS,MS,RS,RS,NA,932,633,531,831,NA,1,1,0,0,NA,25,15,22,22,NA,25,90,100,100,NA
67,41991,42034,42058,42077,NA,RS,MS,RS,RS,NA,949,653,555,818,NA,1,1,0,0,NA,25,15,22,22,NA,25,90,100,100,NA
68,41991,42034,42058,42077,NA,RS,MS,RS,MS,NA,843,516,725,914,NA,1,1,0,2,NA,25,15,17,22,NA,25,90,100,86,NA
69,41991,42034,42058,42077,NA,RS,MS,RS,MS,NA,802,806,745,841,NA,1,1,0,2,NA,25,15,17,22,NA,25,90,100,86,NA
70,41991,42034,42058,42077,NA,RS,MS,RS,MS,NA,821,747,810,826,NA,1,1,0,2,NA,25,15,17,22,NA,25,90,100,86,NA
75,41996,42035,42054,42075,NA,RS,RS,RS,RS,NA,445,638,705,622,NA,1,2,2,2,NA,22,17,18,17,NA,100,0,59,80,NA
76,41996,42035,42054,42075,NA,RS,RS,RS,RS,NA,459,624,722,638,NA,1,2,2,2,NA,22,17,18,17,NA,100,0,59,80,NA
77,41996,42035,42054,42075,NA,RS,RS,RS,RS,NA,513,657,737,652,NA,1,2,2,2,NA,22,17,18,17,NA,100,0,59,80,NA
78,41996,42035,42054,42075,NA,RS,RS,RS,RS,NA,528,712,809,706,NA,1,2,2,2,NA,22,17,18,17,NA,100,0,59,80,NA
79,41996,42035,42054,42075,NA,RS,RS,RS,RS,NA,544,610,754,607,NA,1,2,2,2,NA,22,17,18,17,NA,100,0,59,80,NA
80,41996,42035,42054,42075,NA,RS,RS,RS,RS,NA,600,557,648,553,NA,1,2,2,2,NA,22,17,18,17,NA,100,0,59,80,NA
81,41996,42035,42054,42075,NA,RS,RS,RS,RS,NA,619,727,825,719,NA,1,2,2,2,NA,22,17,18,17,NA,100,0,59,80,NA
82,41996,42035,42054,42075,NA,RS,RS,RS,RS,NA,637,757,840,734,NA,1,2,2,2,NA,22,17,18,17,NA,100,0,59,80,NA
83,41996,42035,42054,42075,NA,RS,RS,RS,RS,NA,659,742,633,539,NA,1,2,2,2,NA,22,17,18,17,NA,100,0,59,80,NA
84,41996,42035,42054,42075,NA,RS,RS,RS,RS,NA,729,840,614,950,NA,2,2,0,0,NA,26,24,16,16,NA,100,30,87,87,NA
85,41996,42035,42054,42075,NA,RS,RS,RS,RS,NA,751,913,558,755,NA,2,2,0,0,NA,26,24,16,16,NA,100,30,87,87,NA
86,41996,42035,42054,42075,NA,RS,RS,RS,RS,NA,808,929,543,810,NA,2,2,0,0,NA,26,24,16,16,NA,100,30,87,87,NA
87,41996,42035,42054,42075,NA,RS,RS,RS,RS,NA,828,855,525,936,NA,2,2,0,0,NA,26,24,16,16,NA,100,30,87,87,NA
88,41996,42035,42054,42075,NA,RS,RS,RS,RS,NA,848,929,542,825,NA,2,2,1,0,NA,26,24,15,16,NA,100,30,30,87,NA
89,41996,42035,42054,42075,NA,RS,RS,RS,RS,NA,902,913,557,839,NA,2,2,1,0,NA,26,24,15,16,NA,100,30,30,87,NA
90,41996,42035,42054,42075,NA,RS,RS,RS,RS,NA,917,857,611,853,NA,2,2,1,0,NA,26,24,15,16,NA,100,30,30,87,NA
91,41996,42035,42054,42075,NA,RS,RS,RS,RS,NA,935,841,629,907,NA,2,2,1,0,NA,26,24,15,16,NA,100,30,30,87,NA
92,41996,42035,42054,42075,NA,RS,RS,RS,RS,NA,956,945,643,920,NA,2,2,1,3,NA,26,24,15,22,NA,100,30,30,68,NA
93,41997,42038,42061,42078,NA,RS,RS,RS,MS,NA,447,747,518,530,NA,0,1,1,1,NA,23,18,17,14,NA,60,100,100,60,NA
94,41997,42038,42061,42078,NA,RS,RS,RS,MS,NA,504,804,536,545,NA,0,1,1,1,NA,23,18,17,14,NA,60,100,100,60,NA
